Company Logo,Job Name,Company,Location,Time Upload
https://image-service-cdn.seek.com.au/d391294c759e3544d7deba4e120b6e0aeb560f21/ee4dce1061f3f616224767ad58cb2fc751b8d2dc,Data Engineer,PT Akasha Wira International Tbk,Jakarta Raya,20 jam yang lalu
https://image-service-cdn.seek.com.au/f633ae4bc8813da07929114d304593b74a37397f/ee4dce1061f3f616224767ad58cb2fc751b8d2dc,Data Analyst,PT Makmur Artha Sejahtera,Jakarta Utara,5 jam yang lalu
https://image-service-cdn.seek.com.au/3a079baabae981f857a2283194d58bd24f61d8b4/ee4dce1061f3f616224767ad58cb2fc751b8d2dc,Data Analyst Staff,PT. Best Agro International,Jakarta Selatan,2 jam yang lalu
https://image-service-cdn.seek.com.au/2a6739e6119ccddfdc5e10610eaad741a1853467/ee4dce1061f3f616224767ad58cb2fc751b8d2dc,Business Analyst-Indonesia,LAZADA.CO.ID,Jakarta Raya,19 jam yang lalu
https://image-service-cdn.seek.com.au/c3820ff191592b8126b82e6b4d1a9a5ca0553b25/ee4dce1061f3f616224767ad58cb2fc751b8d2dc,Data Analyst,Elshe Global Care,Jakarta Selatan,1 hari yang lalu
https://image-service-cdn.seek.com.au/2a6739e6119ccddfdc5e10610eaad741a1853467/ee4dce1061f3f616224767ad58cb2fc751b8d2dc,Strategy & Business Planning Analyst-Indonesia,LAZADA.CO.ID,Jakarta Raya,4 jam yang lalu
https://siva.jsstatic.com/id/30019/images/logo/30019_logo_0_946264.png,Business Analyst,PT Juke Solusi Teknologi,Jakarta Pusat,16 jam yang lalu
https://image-service-cdn.seek.com.au/fa2411ba0861c9a3ffdef042743d7a7f8837477a/ee4dce1061f3f616224767ad58cb2fc751b8d2dc,BI Data Visualization Specialist,ABeam Consulting Indonesia,Jakarta Raya,13 jam yang lalu
https://image-service-cdn.seek.com.au/363ac844215c6219765d0385c0cd7e4e9f4f9eb1/ee4dce1061f3f616224767ad58cb2fc751b8d2dc,DATA ANALYST,PT ACCENTUATES,Jakarta Raya,3 hari yang lalu
no image,Data Scientist,PT Talentvis Consulting Indonesia,Jakarta Raya,1 hari yang lalu
https://image-service-cdn.seek.com.au/3686f82f3069dcbc44da57e6e90cf98aba720043/ee4dce1061f3f616224767ad58cb2fc751b8d2dc,Data Engineer,"PT Surya Semesta Internusa, Tbk",Jakarta Selatan,23 jam yang lalu
https://image-service-cdn.seek.com.au/231407bf1b4da6fb1257fcacfe0f1e1f93912044/ee4dce1061f3f616224767ad58cb2fc751b8d2dc,E-commerce Data Analyst,PT Arya Noble,Jakarta Barat,3 hari yang lalu
https://image-service-cdn.seek.com.au/2cae9be6400e0dd88615b6428f1ba2997edb8416/ee4dce1061f3f616224767ad58cb2fc751b8d2dc,Standardization Process Analyst,"PT Surya Semesta Internusa, Tbk",Jakarta Selatan,23 jam yang lalu
https://image-service-cdn.seek.com.au/3687f70a10c2c8e3a6ecd7838c7c520dbe94c135/ee4dce1061f3f616224767ad58cb2fc751b8d2dc,Data Analyst,PT Harmoni Dinamik Indonesia,Jakarta Pusat,4 hari yang lalu
https://image-service-cdn.seek.com.au/299dad8efc22bd883e751be779b1e6f409671577/ee4dce1061f3f616224767ad58cb2fc751b8d2dc,Business Analyst Officer,Yayasan Bina Nusantara,Jakarta Barat,13 jam yang lalu
https://image-service-cdn.seek.com.au/5c07f6241f19f0664e51c3542e05aead1ea7cc15/ee4dce1061f3f616224767ad58cb2fc751b8d2dc,Data Engineer,PT NTT Data Indonesia,Jakarta Selatan,1 hari yang lalu
https://image-service-cdn.seek.com.au/faf1379cb2f8ff5c87162dc20c60c0d2f63dba1c/ee4dce1061f3f616224767ad58cb2fc751b8d2dc,Presales Data Management Solution,PT Nusantara Compnet Integrator,Jakarta Barat,1 hari yang lalu
